ra,dec,id,name,mag,bv
211.670833,-36.37,5288,  5The Cen,2.06,1.01
213.915417,19.1825,5340, 16Alp Boo,-0.04,1.23
218.876667,-42.157778,5440,   Eta Cen,2.31,-0.19
219.899583,-60.835278,5459,   Alp1Cen,-0.01,0.71
219.900417,-60.835556,5460,   Alp2Cen,1.33,0.88
220.4825,-47.388333,5469,   Alp Lup,2.3,-0.2
221.246667,27.074167,5506, 36Eps Boo,2.7,0.97
222.719583,-16.041667,5531,  9Alp2Lib,2.75,0.15
222.67625,74.155556,5563,  7Bet UMi,2.08,1.47
224.632917,-43.133889,5571,   Bet Lup,2.68,-0.22
229.7275,-68.679444,5671,   Gam TrA,2.89,0.0
229.251667,-9.383056,5685, 27Bet Lib,2.61,-0.11
233.785417,-41.166944,5776,   Gam Lup,2.78,-0.2
233.672083,26.714722,5793,  5Alp CrB,2.23,-0.02
236.067083,6.425556,5854, 24Alp Ser,2.65,1.17
238.785417,-63.430556,5897,   Bet TrA,2.85,0.29
239.712917,-26.114167,5944,  6Pi  Sco,2.89,-0.19
240.083333,-22.621667,5953,  7Del Sco,2.32,-0.12
239.875833,25.920278,5958,HR5958,2.0,0.1
241.359167,-19.805556,5984,  8Bet1Sco,2.62,-0.07
243.58625,-3.694444,6056,  1Del Oph,2.74,1.58
245.297083,-25.592778,6084, 20Sig Sco,2.89,0.13
245.997917,61.514167,6132, 14Eta Dra,2.74,0.91
247.351667,-26.431944,6134, 21Alp Sco,0.96,1.83
247.555,21.489722,6148, 27Bet Her,2.77,0.94
248.970833,-28.216111,6165, 23Tau Sco,2.82,-0.25
249.289583,-10.567222,6175, 13Zet Oph,2.56,0.02
250.321667,31.603056,6212, 40Zet Her,2.81,0.65
252.16625,-69.027778,6217,   Alp TrA,1.92,1.44
252.540833,-34.293333,6241, 26Eps Sco,2.29,1.15
257.594583,-15.724722,6378, 35Eta Oph,2.43,0.06
261.325,-55.53,6461,   Bet Ara,2.85,1.46
