ra,dec,id,name,mag,bv
1.33375,-5.7075,   3, 33    Psc,4.61,1.04
2.097083,29.090556,  15, 21Alp And,2.06,-0.11
2.294583,59.149722,  21, 11Bet Cas,2.27,0.34
2.352917,-45.7475,  25,   Eps Phe,3.88,1.03
2.81625,-15.468056,  33,  6    Cet,4.89,0.49
3.309167,15.183611,  39, 88Gam Peg,2.83,-0.23
3.650833,20.206667,  45, 89Chi Peg,4.8,1.57
3.66,-18.932778,  48,  7    Cet,4.44,1.66
4.272917,38.681667,  63, 24The And,4.61,0.06
4.582083,36.785278,  68, 25Sig And,4.52,0.05
4.857083,-8.823889,  74,  8Iot Cet,3.56,1.22
5.017917,-64.874722,  77,   Zet Tuc,4.23,0.58
6.437917,-77.254167,  98,   Bet Hyi,2.8,0.62
6.570833,-42.306111,  99,   Alp Phe,2.39,1.09
6.550833,-43.68, 100,   Kap Phe,3.94,0.17
6.982083,-33.007222, 105,   Eta Scl,4.81,1.64
7.943333,54.522222, 123, 14Lam Cas,4.73,-0.1
7.854167,-48.803611, 125,   Lam1Phe,4.77,0.02
7.88625,-62.958056, 126,   Bet1Tuc,4.37,-0.07
7.89,-62.965833, 127,   Bet2Tuc,4.54,0.15
8.25,62.931667, 130, 15Kap Cas,4.16,0.14
9.242917,53.896944, 153, 17Zet Cas,3.66,-0.2
9.220417,33.719444, 154, 29Pi  And,4.36,-0.14
9.63875,29.311667, 163, 30Eps And,4.37,0.87
9.832083,30.860833, 165, 31Del And,3.27,1.28
10.127083,56.537222, 168, 18Alp Cas,2.23,1.17
10.51625,50.5125, 179, 19Xi  Cas,4.8,-0.11
10.331667,-46.085, 180,   Mu  Phe,4.59,0.97
10.867083,47.024722, 184, 20Pi  Cas,4.94,0.18
10.8975,-17.986667, 188, 16Bet Cet,2.04,1.02
10.838333,-57.463056, 191,   Eta Phe,4.36,0.0
11.18125,48.284444, 193, 22Omi Cas,4.54,-0.07
11.0475,-10.609444, 194, 17Phi1Cet,4.76,1.01
11.834583,24.267222, 215, 34Zet And,4.06,1.12
12.275,57.815833, 219, 24Eta Cas,3.44,0.57
12.20875,50.968333, 223, 25Nu  Cas,4.89,-0.11
12.170833,7.585, 224, 63Del Psc,4.43,1.5
12.453333,41.078889, 226, 35Nu  And,4.53,-0.15
13.267083,61.124167, 244,HR 244,4.82,0.53
13.252083,-1.144167, 248, 20    Cet,4.77,1.57
13.750417,58.972778, 253, 26Ups1Cas,4.83,1.21
14.177083,60.716667, 264, 27Gam Cas,2.47,-0.15
14.165833,59.181111, 265, 28Ups2Cas,4.63,0.96
14.188333,38.499444, 269, 37Mu  And,3.87,0.13
14.301667,23.4175, 271, 38Eta And,4.42,0.94
14.651667,-29.3575, 280,   Alp Scl,4.31,-0.16
17.18625,86.256944, 285,HR 285,4.25,1.21
15.735833,7.89, 294, 71Eps Psc,4.28,0.96
16.520833,-46.718611, 322,   Bet Phe,3.31,0.89
17.1475,-10.182222, 334, 31Eta Cet,3.45,1.16
17.375833,47.241944, 335, 42Phi And,4.25,-0.07
17.432917,35.620556, 337, 43Bet And,2.06,1.58
17.09625,-55.245833, 338,   Zet Phe,3.92,-0.08
17.775833,55.149722, 343, 33The Cas,4.33,0.17
17.863333,21.034722, 351, 84Chi Psc,4.66,1.03
17.915,30.089722, 352, 83Tau Psc,4.51,1.09
18.437083,24.583611, 360, 85Phi Psc,4.65,1.04
18.79625,-45.531389, 370,   Nu  Phe,4.96,0.58
18.942083,-68.876111, 377,   Kap Tuc,4.86,0.47
20.020417,58.231667, 382, 34Phi Cas,4.98,0.68
19.866667,27.264167, 383, 90Ups Psc,4.76,0.03
20.585,45.528889, 390, 46Xi  And,4.88,1.08
21.483333,68.13, 399, 36Psi Cas,4.74,1.05
21.005833,-8.183333, 402, 45The Cet,3.6,1.06
21.454167,60.235278, 403, 37Del Cas,2.68,0.13
21.405,-14.598889, 412, 46    Cet,4.9,1.23
21.914167,45.406667, 417, 48Ome And,4.83,0.42
37.952917,89.264167, 424,  1Alp UMi,2.02,0.6
22.09125,-43.318333, 429,   Gam Phe,3.41,1.57
22.54625,6.143889, 434, 98Mu  Psc,4.84,1.37
22.870833,15.345833, 437, 99Eta Psc,3.62,0.97
22.812917,-49.072778, 440,   Del Phe,3.95,0.99
23.482917,59.231944, 442, 39Chi Cas,4.71,1.0
24.199167,41.405556, 458, 50Ups And,4.09,0.54
24.498333,48.628333, 464, 51    And,3.57,1.28
24.8375,44.386111, 469, 52Chi And,4.98,0.89
24.42875,-57.236667, 472,   Alp Eri,0.46,-0.16
25.145,40.576944, 477, 53Tau And,4.94,-0.09
25.446667,42.613611, 483,HR 483,4.95,0.62
25.357917,5.4875, 489,106Nu  Psc,4.44,1.36
25.915,50.688611, 496,   Phi Per,4.07,-0.04
25.68125,-3.690278, 500,HR 500,4.99,1.38
26.017083,-15.9375, 509, 52Tau Cet,3.5,0.72
26.348333,9.157778, 510,110Omi Psc,4.26,0.96
27.39625,-10.686389, 531, 53Chi Cet,4.67,0.33
27.865,-10.335, 539, 55Zet Cet,3.73,1.14
28.59875,63.67, 542, 45Eps Cas,3.38,-0.15
28.270417,29.578889, 544,  2Alp Tri,3.41,0.49
28.3825,19.295833, 545,  5Gam1Ari,4.83,
28.3825,19.293611, 546,  5Gam2Ari,4.75,-0.04
29.0,68.685278, 548, 46Ome Cas,4.99,-0.1
28.38875,3.1875, 549,111Xi  Psc,4.62,0.94
28.66,20.808056, 553,  6Bet Ari,2.64,0.13
28.411667,-46.3025, 555,   Psi Phe,4.41,1.59
29.1675,-22.526944, 565, 56    Cet,4.85,1.42
28.989583,-51.608889, 566,   Chi Eri,3.7,0.85
29.482083,23.596111, 569,  9Lam Ari,4.79,0.28
28.73375,-67.647222, 570,   Eta2Hyi,4.69,0.95
29.291667,-47.385, 574,HR 574,4.83,0.88
30.489167,70.906944, 575, 48    Cas,4.54,0.16
30.85875,72.421389, 580, 50    Cas,3.98,-0.01
30.00125,-21.077778, 585, 59Ups Cet,4.0,1.57
29.6925,-61.569722, 591,   Alp Hyi,2.86,0.28
30.511667,2.763611, 596,113Alp Psc,4.33,0.03
30.975,42.329722, 603, 57Gam1And,2.26,1.37
30.977917,42.330833, 604, 57Gam2And,4.84,0.03
31.1225,-29.296944, 612,   Nu  For,4.69,-0.17
31.793333,23.4625, 617, 13Alp Ari,2.0,1.15
32.122083,37.859167, 620, 58    And,4.82,0.12
32.385833,34.987222, 622,  4Bet Tri,3.0,0.14
32.355417,25.939722, 623, 14    Ari,4.98,0.33
33.092917,30.303056, 642,  6    Tri,4.94,0.78
33.305417,44.231667, 643, 60    And,4.83,1.48
33.25,8.846667, 649, 65Xi 1Cet,4.37,0.89
34.263333,34.224167, 660,  8Del Tri,4.87,0.61
34.32875,33.847222, 664,  9Gam Tri,4.01,0.02
34.1275,-51.512222, 674,   Phi Eri,3.56,-0.12
34.83625,-2.9775, 681, 68Omi Cet,3.04,1.42
36.405833,50.278611, 699, 65    And,4.71,1.53
35.437083,-68.659444, 705,   Del Hyi,4.09,0.03
37.266667,67.4025, 707,   Iot Cas,4.52,0.12
36.4875,-12.290556, 708, 72Rho Cet,4.89,-0.03
37.039583,8.46, 718, 73Xi 2Cet,4.28,-0.06
36.74625,-47.703889, 721,   Kap Eri,4.25,-0.14
38.021667,-15.244722, 740, 76Sig Cet,4.75,0.45
38.46125,-28.2325, 749,   Ome For,4.9,-0.05
38.96875,5.593333, 754, 78Nu  Cet,4.86,0.87
39.870833,0.328611, 779, 82Del Cet,4.07,-0.22
39.890833,-11.872222, 781, 83Eps Cet,4.84,0.45
40.562083,40.193889, 788, 12    Per,4.91,0.59
39.95,-42.891667, 789,HR 789,4.75,0.06
40.166667,-39.855556, 794,   Iot Eri,4.11,1.02
41.05,49.228333, 799, 13The Per,4.12,0.49
40.862917,27.707222, 801, 35    Ari,4.66,-0.13
40.825,3.235833, 804, 86Gam Cet,3.47,0.09
39.8975,-68.266944, 806,   Eps Hyi,4.11,-0.06
41.030833,-13.858611, 811, 89Pi  Cet,4.25,-0.14
41.235417,10.114167, 813, 87Mu  Cet,4.27,0.31
41.275833,-18.5725, 818,  1Tau1Eri,4.47,0.48
41.977083,29.247222, 824, 39    Ari,4.51,1.11
42.674167,55.895556, 834, 15Eta Per,3.76,1.68
41.385833,-67.616667, 837,   Zet Hyi,4.84,0.06
42.495833,27.260556, 838, 41    Ari,3.63,-0.1
42.64625,38.318611, 840, 16    Per,4.23,0.34
42.2725,-32.405833, 841,   Bet For,4.46,0.99
42.878333,35.059722, 843, 17    Per,4.53,1.56
42.759583,-21.004167, 850,  2Tau2Eri,4.75,0.91
43.564583,52.7625, 854, 18Tau Per,3.95,0.74
43.470417,-49.890278, 868,HR 868,4.0,2.11
42.61875,-75.066944, 872,   Nu  Hyi,4.75,1.33
44.107083,-8.898056, 874,  3Eta Eri,3.89,1.11
44.690417,39.662778, 879, 22Pi  Per,4.7,0.06
44.765417,35.183056, 882, 24    Per,4.93,1.23
44.802917,21.340278, 887, 48Eps Ari,4.63,0.04
44.802917,21.340278, 888, 48Eps Ari,4.63,0.04
44.92875,8.9075, 896, 91Lam Cet,4.7,-0.12
44.565417,-40.304722, 897,   The1Eri,3.24,0.14
44.567917,-40.304444, 898,   The2Eri,4.35,0.08
44.699167,-64.071389, 909,   Bet Hor,4.99,0.13
45.57,4.089722, 911, 92Alp Cet,2.53,1.64
46.199167,53.506389, 915, 23Gam Per,2.93,0.7
46.385,56.705833, 918,HR 918,4.76,1.02
45.597917,-23.624444, 919, 11Tau3Eri,4.09,0.16
46.294167,38.840278, 921, 25Rho Per,3.39,1.65
47.984583,74.393611, 932,HR 932,4.87,0.02
47.042083,40.955556, 936, 26Bet Per,2.12,-0.05
47.266667,49.613333, 937,   Iot Per,4.05,0.59
47.374167,44.857222, 941, 27Kap Per,3.8,0.98
47.8225,39.611667, 947, 28Ome Per,4.63,1.11
47.9075,19.726667, 951, 57Del Ari,4.35,1.03
48.017917,-28.986944, 963,   Alp For,3.87,0.52
48.725417,21.044444, 972, 58Zet Ari,4.89,-0.01
48.958333,-8.819722, 984, 13Zet Eri,4.8,0.23
49.9975,65.652222, 985,HR 985,4.84,-0.15
49.6825,34.222778, 991,HR 991,4.82,1.49
49.592083,-22.511389, 994, 15    Eri,4.88,0.9
49.840417,3.370278, 996, 96Kap1Cet,4.83,0.68
50.085,29.048333, 999,HR 999,4.47,1.55
50.360417,43.329444,1002, 32    Per,4.95,0.04
49.879167,-21.757778,1003, 16Tau4Eri,3.69,1.62
49.982083,-43.069722,1008,HR1008,4.27,0.71
51.080833,49.861111,1017, 33Alp Per,1.79,0.48
51.203333,9.028889,1030,  1Omi Tau,3.6,0.89
52.012917,49.062778,1034,HR1034,4.98,-0.09
52.267083,59.940278,1035,HR1035,4.21,0.41
51.7925,9.732778,1038,  2Xi  Tau,3.74,-0.09
52.47875,58.878611,1040,HR1040,4.54,0.56
52.342083,49.508889,1044, 34    Per,4.67,-0.09
52.64375,47.995278,1052, 35Sig Per,4.36,1.35
52.718333,12.936667,1066,  5    Tau,4.11,1.12
52.654583,-5.075278,1070, 17    Eri,4.73,-0.09
52.344583,-62.9375,1083,   Kap Ret,4.72,0.4
53.2325,-9.458333,1084, 18Eps Eri,3.73,0.88
54.1225,48.192778,1087, 37Psi Per,4.23,-0.06
53.447083,-21.632778,1088, 19Tau5Eri,4.27,-0.11
54.218333,0.401667,1101, 10    Tau,4.28,0.58
54.27375,-40.274722,1106,HR1106,4.58,1.04
55.73125,47.7875,1122, 39Del Per,3.01,-0.13
55.59375,33.965,1123, 40    Per,4.97,-0.01
56.509583,63.345,1129,HR1129,4.8,0.8
56.079583,32.288333,1131, 38Omi Per,3.83,0.05
55.562083,-31.938333,1134,   Del For,5.0,-0.16
56.298333,42.578611,1135, 41Nu  Per,3.77,0.42
55.812083,-9.763333,1136, 23Del Eri,3.54,0.92
56.21875,24.113333,1142, 17    Tau,3.7,-0.11
55.70875,-37.313611,1143,HR1143,4.59,1.2
56.302083,24.467222,1145, 19    Tau,4.3,-0.11
57.589583,71.332222,1148,   Gam Cam,4.63,0.03
56.456667,24.367778,1149, 20    Tau,3.87,-0.07
57.38,65.526111,1155,HR1155,4.47,1.88
56.581667,23.948333,1156, 23    Tau,4.18,-0.06
56.535417,-12.101667,1162, 26Pi  Eri,4.42,1.63
56.87125,24.105,1165, 25Eta Tau,2.87,-0.09
56.712083,-23.249722,1173, 27Tau6Eri,4.23,0.42
56.05,-64.806944,1175,   Bet Ret,3.85,1.13
57.290417,24.053333,1178, 27    Tau,3.63,-0.09
57.149583,-37.620556,1190,HR1190,4.73,-0.03
57.36375,-36.200278,1195,HR1195,4.17,0.95
58.532917,31.883611,1203, 44Zet Per,2.85,0.12
59.284583,61.108889,1205,HR1205,5.0,1.45
56.809583,-74.238889,1208,   Gam Hyi,3.24,1.62
58.572917,-2.954722,1212, 32    Eri,4.79,0.94
58.4275,-24.6125,1213, 33Tau8Eri,4.65,-0.13
59.463333,40.010278,1220, 45Eps Per,2.89,-0.18
59.74125,35.791111,1228, 46Xi  Per,4.04,0.01
59.5075,-13.508611,1231, 34Gam Eri,2.95,1.59
60.17,12.490278,1239, 35Lam Tau,3.47,-0.12
59.98125,-24.016389,1240, 36Tau9Eri,4.66,-0.13
59.68625,-61.400278,1247,   Del Ret,4.56,1.62
60.789167,5.989167,1251, 38Nu  Tau,3.91,0.03
61.17375,22.081944,1256, 37    Tau,4.36,1.07
61.645833,50.351389,1261, 47Lam Per,4.29,0.02
60.224167,-62.159444,1264,   Gam Ret,4.51,1.65
60.325833,-61.078889,1266,   Iot Ret,4.97,1.42
62.165417,47.7125,1273, 48    Per,4.04,-0.03
62.96625,-6.8375,1298, 38Omi1Eri,4.04,0.33
62.710833,-41.993611,1302,   Del Hor,4.93,0.33
63.724583,48.409444,1303, 51Mu  Per,4.14,0.95
63.722083,40.483611,1306, 52    Per,4.71,1.01
63.485,9.263611,1311, 47    Tau,4.84,0.8
63.59875,-10.256389,1318, 39    Eri,4.87,1.17
63.88375,8.892222,1320, 49Mu  Tau,4.29,-0.06
64.560833,50.295556,1324,HR1324,4.61,0.04
63.817917,-7.652778,1325, 40Omi2Eri,4.43,0.82
63.500417,-42.294444,1326,   Alp Hor,3.86,1.1
64.315,20.578611,1329, 50Ome2Tau,4.94,0.26
63.60625,-62.473889,1336,   Alp Ret,3.35,0.91
64.006667,-51.486667,1338,   Gam Dor,4.25,0.3
65.1025,34.566667,1343, 54    Per,4.93,0.94
64.948333,15.6275,1346, 54Gam Tau,3.65,0.99
64.47375,-33.798333,1347, 41Ups4Eri,3.56,-0.12
65.08875,27.350833,1348, 52Phi Tau,4.95,1.15
65.388333,46.498889,1350, 53    Per,4.85,-0.03
64.120417,-59.301944,1355,   Eps Ret,4.44,1.08
65.73375,17.5425,1373, 61Del1Tau,3.76,0.98
66.024167,17.443889,1380, 64Del2Tau,4.8,0.15
66.342083,22.293889,1387, 65Kap1Tau,4.22,0.13
66.3725,17.928056,1389, 68Del3Tau,4.29,0.05
66.577083,22.813611,1392, 69Ups Tau,4.28,0.26
66.009167,-34.016944,1393, 43    Eri,3.96,1.49
66.586667,15.618333,1394, 71    Tau,4.49,0.25
66.651667,14.713611,1396, 73Pi  Tau,4.69,0.98
67.11,16.359722,1407, 75    Tau,4.97,1.13
67.154167,19.180278,1409, 74Eps Tau,3.53,1.01
67.14375,15.962222,1411, 77The1Tau,3.84,0.95
67.165417,15.870833,1412, 78The2Tau,3.4,0.18
67.640417,16.193889,1427,HR1427,4.78,0.17
67.969583,-0.043889,1437, 45    Eri,4.91,1.32
68.462083,14.844444,1444, 86Rho Tau,4.65,0.25
68.3775,-29.766667,1453, 50Ups1Eri,4.51,0.98
69.1725,41.264722,1454, 58    Per,4.25,1.22
68.98,16.509167,1457, 87Alp Tau,0.85,1.54
68.91375,10.160833,1458, 88    Tau,4.25,0.18
69.079583,-3.3525,1463, 48Nu  Eri,3.93,-0.21
68.8875,-30.562222,1464, 52Ups2Eri,3.82,0.98
68.499167,-55.045,1465,   Alp Dor,3.27,-0.1
69.539583,12.510833,1473, 90    Tau,4.27,0.12
69.81875,15.918056,1479, 92Sig2Tau,4.69,0.15
69.545,-14.303889,1481, 53    Eri,3.87,1.09
70.110417,-19.671667,1496, 54    Eri,4.32,1.61
70.56125,22.956944,1497, 94Tau Tau,4.28,-0.13
70.140417,-41.863889,1502,   Alp Cae,4.45,0.34
71.375417,-3.254722,1520, 57Mu  Eri,4.02,-0.15
72.4775,37.488333,1533,HR1533,4.88,1.44
73.5125,66.342778,1542,  9Alp Cam,4.29,0.03
72.46,6.961389,1543,  1Pi 3Ori,3.19,0.45
72.652917,8.900278,1544,  2Pi 2Ori,4.36,0.01
73.158333,36.703056,1551,  2    Aur,4.78,1.41
72.801667,5.605,1552,  3Pi 4Ori,3.69,-0.17
73.133333,14.250556,1556,  4Omi1Ori,4.74,1.84
73.22375,-5.452778,1560, 61Ome Eri,4.39,0.25
73.562917,2.440556,1567,  8Pi 5Ori,3.72,-0.18
74.321667,53.752222,1568,  7    Cam,4.47,-0.02
73.724167,10.150833,1570,  7Pi 1Ori,4.65,0.09
74.248333,33.166111,1577,  3Iot Aur,2.69,1.53
74.092917,13.514444,1580,  9Omi2Ori,4.07,1.15
74.814167,37.890278,1592,  4Ome Aur,4.94,0.04
74.637083,1.714167,1601, 10Pi 6Ori,4.47,1.4
75.854583,60.442222,1603, 10Bet Cam,4.03,0.92
75.492083,43.823333,1605,  7Eps Aur,2.99,0.54
74.9825,-12.5375,1611, 64    Eri,4.79,0.26
75.619583,41.075833,1612,  8Zet Aur,3.75,1.22
75.359583,-7.173889,1617, 65Psi Eri,4.81,-0.19
75.77375,21.59,1620,102Iot Tau,4.64,0.16
75.356667,-20.051944,1621,HR1621,4.91,-0.05
76.669167,51.597778,1637,  9    Aur,5.0,0.33
76.142083,15.404167,1638, 11    Ori,4.68,-0.06
76.62875,41.234444,1641, 10Eta Aur,3.17,-0.18
76.101667,-35.483333,1652,   Gam1Cae,4.55,1.2
76.365417,-22.371111,1654,  2Eps Lep,3.19,1.46
76.8625,18.645,1656,104    Tau,5.0,0.65
76.9625,-5.086389,1666, 67Bet Eri,2.79,0.13
76.3775,-57.472778,1674,   Zet Dor,4.72,0.52
77.425,15.597222,1676, 15    Ori,4.82,0.32
77.286667,-8.754167,1679, 69Lam Eri,4.27,-0.19
