ra,dec,id,name,mag,bv
11.237917,-42.676667, 198,HR 198,5.94,0.28
11.942083,74.8475, 208, 23    Cas,5.41,-0.08
11.44,-47.551667, 209,HR 209,5.8,0.64
11.549167,-22.521944, 210,HR 210,5.5,0.98
11.6375,15.475556, 211, 57    Psc,5.38,1.65
12.037917,72.675, 212,HR 212,5.87,1.01
11.75625,11.973889, 213, 58    Psc,5.5,0.97
11.834583,24.267222, 215, 34Zet And,4.06,1.12
11.848333,6.740833, 216, 60    Psc,5.99,0.94
11.930417,-18.061389, 218,HR 218,5.7,1.3
12.275,57.815833, 219, 24Eta Cas,3.44,0.57
12.004583,-21.7225, 220,HR 220,5.57,-0.06
12.0725,7.3, 221, 62    Psc,5.93,1.1
12.095833,5.280556, 222,HR 222,5.75,0.88
12.20875,50.968333, 223, 25Nu  Cas,4.89,-0.11
12.170833,7.585, 224, 63Del Psc,4.43,1.5
12.244583,16.940556, 225, 64    Psc,5.07,0.51
12.453333,41.078889, 226, 35Nu  And,4.53,-0.15
12.356667,-13.561389, 227,HR 227,5.59,1.3
12.307917,-24.136389, 228,HR 228,5.9,0.95
12.681667,64.2475, 233,HR 233,5.39,0.49
12.531667,-10.644444, 235, 19Phi2Cet,5.19,0.5
12.1475,-74.923333, 236,   Lam Hyi,5.07,1.37
13.72125,83.707222, 240,HR 240,5.62,0.09
12.671667,-50.986944, 242,   Rho Phe,5.22,0.36
13.267083,61.124167, 244,HR 244,4.82,0.53
13.169167,-24.005833, 247,HR 247,5.46,1.24
13.252083,-1.144167, 248, 20    Cet,4.77,1.57
13.750417,58.972778, 253, 26Ups1Cas,4.83,1.21
13.646667,19.188333, 254, 66    Psc,5.74,-0.01
13.407917,-62.871389, 257,HR 257,5.7,1.56
13.741667,23.628333, 258, 36    And,5.47,1.0
13.926667,-7.347222, 263,HR 263,5.85,1.52
14.177083,60.716667, 264, 27Gam Cas,2.47,-0.15
14.165833,59.181111, 265, 28Ups2Cas,4.63,0.96
14.19625,60.362778, 266,HR 266,5.55,-0.07
14.00625,-11.266667, 267, 22Phi3Cet,5.31,1.52
14.188333,38.499444, 269, 37Mu  And,3.87,0.13
13.75125,-69.526944, 270,   Lam2Tuc,5.45,1.09
14.301667,23.4175, 271, 38Eta And,4.42,0.94
14.629583,66.352222, 273,HR 273,5.97,-0.02
14.459167,28.992222, 274, 68    Psc,5.42,1.08
14.559167,33.950833, 275,HR 275,5.98,1.0
14.682917,-11.38, 279, 23Phi4Cet,5.61,0.97
14.651667,-29.3575, 280,   Alp Scl,4.31,-0.16
17.18625,86.256944, 285,HR 285,4.25,1.21
15.32625,-38.916667, 288,   Xi  Scl,5.59,1.18
15.72625,41.345, 290, 39    And,5.98,0.16
15.704583,31.804444, 291, 69Sig Psc,5.5,-0.05
15.904167,61.075, 292,HR 292,5.92,0.49
15.61,-31.551944, 293,   Sig Scl,5.5,0.08
